2.6651 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
34.4690 	EXP 	fixation: autoDraw = True
35.4551 	EXP 	grating: autoDraw = True
35.4551 	EXP 	grating: tex = 'sin'
35.4716 	EXP 	fixation: autoDraw = False
35.7557 	EXP 	grating: autoDraw = False
35.8251 	EXP 	window1: recordFrameIntervals = False
35.8270 	DATA 	Keypress: left
35.8394 	EXP 	fixation: autoDraw = False
35.8394 	EXP 	grating: autoDraw = False
35.8395 	EXP 	window1: recordFrameIntervals = False
36.8421 	EXP 	fixation: autoDraw = True
37.8284 	EXP 	grating: autoDraw = True
37.8284 	EXP 	grating: tex = 'sin'
37.8452 	EXP 	fixation: autoDraw = False
38.1295 	EXP 	grating: autoDraw = False
38.2815 	EXP 	window1: recordFrameIntervals = False
38.2832 	DATA 	Keypress: left
38.2960 	EXP 	fixation: autoDraw = False
38.2960 	EXP 	grating: autoDraw = False
38.2962 	EXP 	window1: recordFrameIntervals = False
39.2987 	EXP 	fixation: autoDraw = True
40.2845 	EXP 	grating: autoDraw = True
40.2845 	EXP 	grating: tex = 'sin'
40.3013 	EXP 	fixation: autoDraw = False
40.5862 	EXP 	grating: autoDraw = False
40.8579 	EXP 	window1: recordFrameIntervals = False
40.8610 	DATA 	Keypress: right
40.8695 	EXP 	fixation: autoDraw = False
40.8695 	EXP 	grating: autoDraw = False
40.8697 	EXP 	window1: recordFrameIntervals = False
41.8723 	EXP 	fixation: autoDraw = True
42.8581 	EXP 	grating: autoDraw = True
42.8581 	EXP 	grating: tex = 'sin'
42.8749 	EXP 	fixation: autoDraw = False
43.1594 	EXP 	grating: autoDraw = False
43.2626 	EXP 	window1: recordFrameIntervals = False
43.2653 	DATA 	Keypress: left
43.2764 	EXP 	fixation: autoDraw = False
43.2764 	EXP 	grating: autoDraw = False
43.2766 	EXP 	window1: recordFrameIntervals = False
44.2785 	EXP 	fixation: autoDraw = True
45.2646 	EXP 	grating: autoDraw = True
45.2646 	EXP 	grating: tex = 'sin'
45.2814 	EXP 	fixation: autoDraw = False
45.5660 	EXP 	grating: autoDraw = False
45.6847 	EXP 	window1: recordFrameIntervals = False
45.6867 	DATA 	Keypress: right
45.6991 	EXP 	fixation: autoDraw = False
45.6991 	EXP 	grating: autoDraw = False
45.6993 	EXP 	window1: recordFrameIntervals = False
46.7018 	EXP 	fixation: autoDraw = True
47.6880 	EXP 	grating: autoDraw = True
47.6880 	EXP 	grating: tex = 'sin'
47.7046 	EXP 	fixation: autoDraw = False
47.9885 	EXP 	grating: autoDraw = False
48.2416 	EXP 	window1: recordFrameIntervals = False
48.2433 	DATA 	Keypress: right
48.2559 	EXP 	fixation: autoDraw = False
48.2559 	EXP 	grating: autoDraw = False
48.2561 	EXP 	window1: recordFrameIntervals = False
49.2590 	EXP 	fixation: autoDraw = True
50.2449 	EXP 	grating: autoDraw = True
50.2449 	EXP 	grating: tex = 'sin'
50.2614 	EXP 	fixation: autoDraw = False
50.5458 	EXP 	grating: autoDraw = False
50.6484 	EXP 	window1: recordFrameIntervals = False
50.6501 	DATA 	Keypress: left
50.6625 	EXP 	fixation: autoDraw = False
50.6625 	EXP 	grating: autoDraw = False
50.6627 	EXP 	window1: recordFrameIntervals = False
51.6653 	EXP 	fixation: autoDraw = True
52.6511 	EXP 	grating: autoDraw = True
52.6511 	EXP 	grating: tex = 'sin'
52.6677 	EXP 	fixation: autoDraw = False
52.9522 	EXP 	grating: autoDraw = False
53.0549 	EXP 	window1: recordFrameIntervals = False
53.0572 	DATA 	Keypress: left
53.0688 	EXP 	fixation: autoDraw = False
53.0688 	EXP 	grating: autoDraw = False
53.0689 	EXP 	window1: recordFrameIntervals = False
54.0718 	EXP 	fixation: autoDraw = True
55.0573 	EXP 	grating: autoDraw = True
55.0573 	EXP 	grating: tex = 'sin'
55.0741 	EXP 	fixation: autoDraw = False
55.3587 	EXP 	grating: autoDraw = False
55.4109 	EXP 	window1: recordFrameIntervals = False
55.4129 	DATA 	Keypress: right
55.4251 	EXP 	fixation: autoDraw = False
55.4251 	EXP 	grating: autoDraw = False
55.4253 	EXP 	window1: recordFrameIntervals = False
56.4276 	EXP 	fixation: autoDraw = True
57.4138 	EXP 	grating: autoDraw = True
57.4138 	EXP 	grating: tex = 'sin'
57.4304 	EXP 	fixation: autoDraw = False
57.7148 	EXP 	grating: autoDraw = False
58.1361 	EXP 	window1: recordFrameIntervals = False
58.1389 	DATA 	Keypress: right
58.1494 	EXP 	fixation: autoDraw = False
58.1494 	EXP 	grating: autoDraw = False
58.1496 	EXP 	window1: recordFrameIntervals = False
59.1520 	EXP 	fixation: autoDraw = True
60.1383 	EXP 	grating: autoDraw = True
60.1383 	EXP 	grating: tex = 'sin'
60.1547 	EXP 	fixation: autoDraw = False
60.4388 	EXP 	grating: autoDraw = False
60.8607 	EXP 	window1: recordFrameIntervals = False
60.8632 	DATA 	Keypress: right
60.8732 	EXP 	fixation: autoDraw = False
60.8732 	EXP 	grating: autoDraw = False
